,Movie,Year,Male Protagonists,Male Cast,Male Death,Female Protagonists,Female Cast,Female Death,Black Protagonists,Black Cast,Black Death,Asian Cast,Asian Protagonists,Asian Death,Gender Villain,Villain Race
28,The Mist,2007,1,7.0,21,1,5.0,9,0.0,1.0,1.0,0.0,0.0,0.0,Genderless,Raceless
29,Trick 'r Treat,2007,2,7.0,16,2,6.0,4,0.0,1.0,0.0,0.0,0.0,0.0,Genderless,Raceless
30,Alien,1979,1,4.0,4,1,3.0,1,0.0,1.0,1.0,0.0,0.0,0.0,Male,Raceless
31,Aliens ,1986,1,7.0,10,2,4.0,5,0.0,1.0,1.0,0.0,0.0,0.0,Male,Raceless
32,Alien 3,1992,1,8.0,27,1,3.0,2,1.0,2.0,1.0,0.0,0.0,0.0,Male,Raceless
33,Thankskilling,2007,1,5.0,7,1,2.0,3,0.0,1.0,1.0,0.0,0.0,0.0,Male,Raceless
34,Alien Resurrection,1997,1,5.0,28,1,5.0,2,0.0,1.0,1.0,0.0,0.0,0.0,Male,Raceless
35,Jack Frost,1997,1,6.0,8,1,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,Male,Raceless
36,Jack Frost 2: Revenge of the Mutant Killer Snowman,2000,2,8.0,19,1,2.0,14,0.0,1.0,0.0,0.0,0.0,0.0,Male,Raceless
37,Black Christmas ,1974,1,6.0,2,3,12.0,5,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
38,Black Christmas (2006 Remake),2006,0,5.0,7,5,7.0,11,1.0,1.0,0.0,0.0,0.0,0.0,Male,White
39,Krampus,2015,2,8.0,4,2,6.0,8,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
40,New Year's Evil,1980,0,5.0,2,1,5.0,4,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
41,Killer Klowns from Outer Space,1988,2,8.0,16,1,2.0,6,0.0,1.0,0.0,0.0,0.0,0.0,Male,Raceless
42,The Thing,2011,2,8.0,12,1,2.0,1,1.0,1.0,1.0,0.0,0.0,0.0,Genderless,Raceless
43,IT,2017,5,8.0,3,1,2.0,0,0.0,1.0,0.0,0.0,0.0,0.0,Male,Native American
44,A Nightmare on Elm Street,1984,1,5.0,2,1,4.0,2,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
45,A Nightmare on Elm Street 2: Freddy's Revenge,1985,1,7.0,7,1,3.0,3,0.0,1.0,0.0,0.0,0.0,0.0,Male,White
46,A Nightmare on Elm Street 3: Dream Warriors,1987,2,7.0,3,3,4.0,3,1.0,1.0,1.0,1.0,0.0,0.0,Male,White
47,A Nightmare on Elm Street 4: The Dream Master,1988,1,5.0,4,2,6.0,3,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
48,My Bloody Valentine,1981,2,6.0,11,1,3.0,5,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
49,A Nightmare on Elm Street 5: The Dream Child,1989,1,6.0,2,1,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
50,Freddy's Dead: The Final Nightmare,1991,1,5.0,5,1,3.0,1,0.0,1.0,0.0,0.0,0.0,0.0,Male,White
51,President's Day,2010,3,6.0,10,2,4.0,10,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
52,Wes Craven's New Nightmare,1994,1,5.0,4,1,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
53,Freddy vs. Jason,2003,2,9.0,18,1,4.0,5,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
54,The Strangers,2008,1,2.0,2,1,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
55,A Nightmare on Elm Street (2010 Remake) ,2010,1,6.0,3,1,4.0,2,0.0,1.0,0.0,0.0,0.0,0.0,Male,White
56,Leprechaun,1993,1,4.0,3,1,2.0,1,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
57,The Belko Experiment,2016,2,12.0,49,1,5.0,35,0.0,3.0,2.0,0.0,0.0,0.0,Genderless,Raceless
58,Leprechaun 2,1994,2,6.0,6,1,3.0,0,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
59,Sunny Family Cult (Crypt TV),2017,3,,10,1,,2,0.0,0.0,0.0,0.0,0.0,0.0,Both,White
60,Leprechaun 3,1993,2,6.0,7,1,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,Male,White
61,Leprechaun 4: In Space,1996,2,8.0,8,1,3.0,1,0.0,1.0,0.0,0.0,0.0,0.0,Male,White
62,Leprechaun in the Hood,2000,2,6.0,9,1,2.0,1,3.0,7.0,0.0,0.0,0.0,0.0,Male,White
63,Leprechaun: Back 2 Tha' Hood,2003,2,8.0,7,1,4.0,4,2.0,10.0,0.0,0.0,0.0,0.0,Male,White
64,Leprechaun: Origins,2014,1,6.0,5,1,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,Male,Raceless
65,Saw,2004,2,10.0,6,1,4.0,0,0.0,2.0,1.0,2.0,0.0,0.0,Male,White
66,Saw 2,2005,1,12.0,7,1,4.0,2,0.0,2.0,1.0,0.0,0.0,0.0,Male,White
67,Happy Death Day,2017,1,9.0,13,1,7.0,6,0.0,0.0,0.0,1.0,0.0,0.0,Female,White
68,Saw 3,2006,1,11.0,5,1,3.0,4,0.0,1.0,1.0,0.0,0.0,0.0,Both,White
69,Saw 4,2007,1,10.0,8,1,2.0,2,0.0,2.0,1.0,0.0,0.0,0.0,Male,White
70,Saw 5,2008,1,11.0,3,1,3.0,3,0.0,2.0,2.0,0.0,0.0,0.0,Male,White
71,Saw 6,2009,1,10.0,9,1,3.0,4,0.0,2.0,2.0,0.0,0.0,0.0,Both,White
72,Saw 3D,2010,2,18.0,19,1,10.0,7,0.0,2.0,1.0,1.0,0.0,0.0,Male,White
73,Jigsaw,2017,2,6.0,10,1,4.0,4,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
74,The Purge,2013,2,13.0,11,2,3.0,3,0.0,2.0,0.0,0.0,0.0,0.0,Genderless,
75,The Purge: Anarchy,2014,3,15.0,54,2,4.0,6,1.0,3.0,0.0,0.0,0.0,0.0,Genderless,
76,The Purge: Ellection Year,2016,2,9.0,82,1,4.0,8,1.0,2.0,0.0,0.0,0.0,,Genderless,
77,Uncle Sam,1996,1,,15,0,,1,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
78,Jurassic Park,1993,3,10.0,5,1,3.0,0,0.0,2.0,1.0,1.0,0.0,0.0,Genderless,Raceless
79,Never Hike Alone,2017,2,9.0,1,1,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
80,The Lost World: Jurassic Park,1997,3,10.0,15,2,3.0,0,0.0,1.0,1.0,1.0,0.0,0.0,Genderless,Raceless
81,Unfriended,2014,3,6.0,3,3,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,Female,White
82,Jurassic Park 3,2001,2,10.0,6,1,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Genderless,Raceless
83,Jurassic World,2015,2,10.0,22,1,2.0,1,0.0,1.0,1.0,0.0,0.0,0.0,Genderless,Raceless
84,Predator,1987,1,14.0,76,1,1.0,0,1.0,2.0,1.0,0.0,0.0,0.0,Male,Raceless
85,Predator 2,1990,2,19.0,44,1,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Male,Raceless
86,Predators ,2010,5,8.0,13,1,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,Male,Raceless
87,Halloween,1978,2,10.0,2,1,6.0,3,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
88,Cujo,1983,2,8.0,3,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,Male,Raceless
89,Halloween 2,1981,2,14.0,5,1,9.0,5,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
90,Halloween III: Season of the Witch,1982,2,9.0,24,1,4.0,4,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
91,Halloween 4: The Return of Michael Myers,1988,1,10.0,11,1,6.0,3,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
92,Halloween 5: The Revenge of Michael Myers,1989,1,10.0,16,1,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
93,Halloween: The Curse of Michael Myers,1995,2,15.0,10,1,8.0,7,0.0,1.0,1.0,1.0,0.0,0.0,Male,White
94,Halloween H20,1998,2,13.0,5,1,9.0,2,1.0,3.0,0.0,0.0,0.0,0.0,Male,White
95,Halloween: Resurrection,2002,2,6.0,6,1,3.0,4,1.0,1.0,1.0,0.0,0.0,0.0,Male,White
96,Suspiria ,1977,0,4.0,7,1,6.0,2,0.0,0.0,0.0,0.0,0.0,0.0,Female,White
97,Halloween II (2009 Version),2009,2,10.0,12,1,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
98,Ice Cream Man,1995,1,10.0,7,0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
99,Frankenstein,1931,2,13.0,4,1,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Male,Raceless
100,The Evil Dead 1981,1981,1,6.0,2,0,4.0,6,0.0,0.0,0.0,0.0,0.0,0.0,Genderless,Raceless
101,Evil Dead 2,1987,1,10.0,3,1,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,Genderless,Raceless
102,Army of Darkness,1992,1,8.0,34,0,2.0,4,0.0,1.0,0.0,0.0,0.0,0.0,Genderless,Raceless
103,Halloween (2007 Remake),2007,1,10.0,15,1,8.0,7,0.0,1.0,0.0,0.0,0.0,0.0,Male,White
104,Blood Rage,1987,1,13.0,7,1,9.0,4,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
105,"Evil Dead (2013 ""Remake"")",2013,2,3.0,5,3,5.0,3,0.0,0.0,0.0,0.0,0.0,0.0,Genderless,Raceless
106,"Silent Night, Deadly Night",1984,1,,9,0,,4,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
107,"Silent Night, Deadly Night Part 2",1987,1,,10,0,,2,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
108,Unfriended: Dark Web,2018,3,3.0,6,3,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,Both,
109,"Silent Night, Deadly Night 3: Better Watch Out!",1989,1,3.0,5,1,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
110,The Strangers: Prey at Night,2018,2,4.0,4,2,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,Both,
111,"Silent Night, Deadly Night 4: Initiation",1990,0,2.0,3,1,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
112,Jurassic World: Fallen Kingdom,2018,2,11.0,18,2,5.0,1,0.0,2.0,0.0,1.0,0.0,0.0,Genderless,Raceless
113,"Silent Night, Deadly Night 5: The Toy Maker",1991,2,8.0,5,1,3.0,0,0.0,1.0,1.0,0.0,0.0,0.0,Male,Raceless
114,Silent Night,2012,2,10.0,11,1,10.0,6,0.0,2.0,2.0,1.0,0.0,0.0,Male,White
115,Santa's Slay,2005,2,9.0,26,1,6.0,15,0.0,1.0,0.0,0.0,0.0,0.0,Male,White
116,Terror Train,1980,2,11.0,9,1,3.0,1,0.0,2.0,0.0,0.0,0.0,0.0,Male,White
117,The Birds,1963,1,11.0,2,1,11.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Genderless,Raceless
118,Bird Box,2018,2,3.0,18,1,4.0,7,1.0,1.0,0.0,1.0,0.0,0.0,Genderless,Raceless
119,Chopping Mall,1986,3,14.0,6,2,10.0,3,0.0,0.0,0.0,0.0,0.0,0.0,Male,Raceless
120,Halloween,2018,2,14.0,14,1,6.0,4,0.0,3.0,1.0,1.0,0.0,0.0,Male,White
121,Alien vs. Predator,2004,2,19.0,18,1,2.0,8,1.0,1.0,1.0,0.0,0.0,0.0,Male,Raceless
122,Aliens vs. Predator: Requiem,2007,2,19.0,23,1,7.0,8,0.0,1.0,1.0,1.0,0.0,0.0,Male,Raceless
123,My Bloody Valentine 3D,2009,2,14.0,18,1,10.0,10,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
124,A Quiet Place,2018,2,6.0,3,1,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Genderless,Raceless
125,Pet Sematary,1989,2,10.0,5,2,5.0,3,0.0,0.0,0.0,0.0,0.0,0.0,Genderless,Native American
126,Pet Sematary Two,1992,2,3.0,3,0,2.0,3,0.0,1.0,1.0,0.0,0.0,0.0,Genderless,Native American
127,The First Purge ,2018,3,,60,2,,12,3.0,5.0,2.0,0.0,0.0,0.0,Genderless,Raceless
128,A Bucket of Blood,1959,1,7.0,3,1,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
129,Prometheus,2012,2,10.0,13,1,2.0,2,0.0,1.0,1.0,0.0,0.0,0.0,Genderless,Raceless
130,Leprechaun Returns,2018,0,2.0,4,1,5.0,2,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
131,Alien: Covenant,2017,2,9.0,8,1,1.0,5,0.0,1.0,1.0,0.0,0.0,0.0,Genderless,Raceless
132,The Predator,2018,3,9.0,55,1,2.0,1,2.0,3.0,1.0,0.0,0.0,0.0,Male,Raceless
133,Demonic Toys,1992,2,10.0,4,1,4.0,1,0.0,1.0,1.0,0.0,0.0,0.0,Genderless,Raceless
134,The Texas Chain Saw Massacre,1974,4,10.0,5,2,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
135,The Texas Chainsaw Massacre 2,1986,2,11.0,8,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
136,Leatherface: Texas Chainsaw Massacre 3,1990,3,6.0,4,2,3.0,3,1.0,1.0,1.0,0.0,0.0,0.0,Male,White
137,Texas Chainsaw Massacre: The Next Generation,1995,2,6.0,5,1,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
138,The Texas Chainsaw Massacre,2003,5,7.0,5,2,6.0,2,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
139,The Texas Chainsaw Massacre: The Beginning,2006,2,10.0,7,2,4.0,4,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
140,Texas Chainsaw 3D,2013,2,10.0,14,1,4.0,4,1.0,1.0,1.0,0.0,0.0,0.0,Male,White
141,Leatherface,2017,3,10.0,15,1,5.0,6,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
142,Sleepaway Camp,1983,1,,9,1,,3,0.0,0.0,0.0,0.0,0.0,0.0,Female,White
143,Sleepaway Camp II: Unhappy Campers,1988,1,4.0,9,1,14.0,9,0.0,1.0,1.0,0.0,0.0,0.0,Female,White
144,Sleepaway Camp III: Teenage Wasteland,1989,1,6.0,9,1,6.0,7,0.0,2.0,2.0,1.0,0.0,1.0,Female,White
145,Happy Death Day 2U,2019,2,3.0,7,1,6.0,12,0.0,2.0,2.0,2.0,1.0,1.0,Male,White
146,Return to Sleepaway Camp,2008,0,10.0,9,1,8.0,2,0.0,1.0,0.0,1.0,0.0,1.0,Female,White
147,Terrifier,2016,2,14.0,6,2,10.0,4,0.0,1.0,1.0,1.0,0.0,0.0,Male,White
148,Jaws,1975,3,,3,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,Genderless,Raceless
149,Us,2018,1,2.0,14,2,4.0,14,4.0,4.0,2.0,0.0,0.0,0.0,Female,Black
150,Jaws 2,1978,1,12.0,4,1,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,Genderless,Raceless
151,It Follows,2014,2,6.0,1,1,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Genderless,Raceless
152,Jaws 3D,1983,2,6.0,5,1,8.0,0,1.0,1.0,0.0,0.0,0.0,0.0,Genderless,Raceless
153,The Babysitter,2017,1,5.0,6,0,4.0,2,0.0,1.0,1.0,0.0,0.0,0.0,Female,White
154,Jaws: The Revenge,1987,2,6.0,1,1,3.0,1,0.0,1.0,1.0,0.0,0.0,0.0,Genderless,Raceless
155,Hush,2016,0,3.0,2,1,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
156,Final Destination,2000,3,14.0,3,1,8.0,2,0.0,2.0,0.0,0.0,0.0,0.0,Genderless,Raceless
