,Movie,Year,Male Protagonists,Male Cast,Male Death,Female Protagonists,Female Cast,Female Death,Black Protagonists,Black Cast,Black Death,Asian Cast,Asian Protagonists,Asian Death,Gender Villain,Villain Race
208,I'll Always Know What You Did Last Summer,2006,3,8.0,5,2,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
209,Come to Daddy,2019,1,7.0,3,0,2.0,0,0.0,1.0,1.0,1.0,0.0,0.0,Male,White
210,Wrong Turn,2003,3,10.0,6,3,8.0,3,0.0,1.0,0.0,0.0,0.0,0.0,Male,White
211,Wrong Turn 2: Dead End,2007,3,14.0,7,3,7.0,6,1.0,1.0,1.0,1.0,0.0,0.0,Male,White
212,Wrong Turn 3: Left for Dead,2009,3,11.0,13,2,4.0,2,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
213,Wrong Turn 4: Bloody Beginnings,2011,3,9.0,6,5,10.0,7,1.0,1.0,1.0,1.0,1.0,1.0,Male,White
214,Wrong Turn 5: Bloodlines,2012,3,13.0,7,3,6.0,3,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
215,Bones ,2001,1,36.0,11,0,16.0,2,1.0,49.0,16.0,0.0,0.0,0.0,Male,Black
216,Wrong Turn VI: Last Resort,2014,2,11.0,7,2,5.0,4,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
217,[•REC]²,2009,5,5.0,13,0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Genderless,Raceless
218,[•REC]³,2012,2,6.0,58,2,6.0,30,0.0,0.0,0.0,0.0,0.0,0.0,Genderless,Raceless
219,[•REC]⁴,2014,2,6.0,40,1,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Genderless,Raceless
220,Quarantine 2: Terminal,2011,2,19.0,13,1,16.0,7,0.0,2.0,1.0,0.0,0.0,0.0,Genderless,Raceless
221,House of 1000 Corpses,2003,2,14.0,7,2,4.0,7,0.0,2.0,0.0,0.0,0.0,0.0,Male,White
222,The Devil's Rejects,2005,3,19.0,12,1,9.0,8,0.0,1.0,1.0,0.0,0.0,0.0,Both,White
223,3 From Hell,2019,2,15.0,32,1,10.0,9,0.0,2.0,1.0,1.0,0.0,0.0,Both,White
224,The Babysitter: Killer Queen,2020,1,13.0,10,2,11.0,8,0.0,1.0,0.0,0.0,0.0,0.0,Female,White
225,Tucker & Dale vs. Evil,2010,2,14.0,9,1,7.0,4,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
226,Tales from the Hood,1995,3,17.0,13,2,7.0,0,5.0,23.0,8.0,0.0,0.0,0.0,Male,Black
227,Tales from the Hood 2,2018,3,15.0,10,2,8.0,3,5.0,20.0,7.0,0.0,0.0,0.0,Male,Black
228,The Lighthouse ,2019,2,5.0,4,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
229,The Prowler,1981,1,12.0,4,1,8.0,4,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
230,Blood Quantum,2019,2,13.0,22,2,8.0,9,0.0,0.0,0.0,0.0,0.0,0.0,Genderless,Raceless
231,Countdown,2019,1,12.0,2,2,8.0,3,0.0,2.0,1.0,1.0,0.0,1.0,Genderless,Raceless
232,The Invisible Man,1933,1,14.0,5,1,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
233,The Invisible Man,2020,1,12.0,4,2,7.0,1,2.0,4.0,1.0,0.0,0.0,0.0,Male,White
234,Never Hike in the Snow,2020,1,6.0,2,0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
235,#Alive,2020,1,10.0,20,1,3.0,15,0.0,0.0,0.0,13.0,2.0,0.0,Genderless,Raceless
236,Hereditary,2018,1,7.0,1,2,5.0,3,0.0,1.0,0.0,0.0,0.0,0.0,Male,Raceless
237,Idle Hands,1999,1,10.0,11,1,4.0,5,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
238,Basket Case,1982,1,8.0,4,1,3.0,3,0.0,1.0,1.0,0.0,0.0,0.0,Genderless,Raceless
239,Basket Case 2,1990,1,9.0,5,1,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Both,Raceless
240,Basket Case 3: The Progeny,1991,1,10.0,6,1,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Female,Raceless
241,Pilgrim,2019,1,6.0,10,1,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,Both,White
242,The Hunt,2020,1,13.0,16,1,7.0,6,0.0,2.0,1.0,0.0,0.0,0.0,Both,Raceless
243,Tales From the Hood 3,2020,5,,9,2,8.0,3,5.0,12.0,3.0,2.0,1.0,0.0,Male,Black
244,Truth or Dare,2018,2,6.0,5,3,6.0,3,0.0,2.0,1.0,2.0,1.0,1.0,Genderless,Raceless
245,Jennifer's Body,2009,0,5.0,11,2,7.0,4,0.0,1.0,0.0,0.0,0.0,0.0,Female,White
246,Black Christmas,2019,0,3.0,22,4,4.0,5,1.0,2.0,1.0,0.0,0.0,0.0,Male,Raceless
247,Doctor Sleep,2019,2,12.0,12,2,9.0,6,1.0,1.0,1.0,0.0,0.0,0.0,Female,White
248,Bloody New Year,1987,3,9.0,6,3,5.0,4,0.0,0.0,0.0,0.0,0.0,0.0,Both,Raceless
249,Zombieland: Double Tap,2019,2,4.0,64,2,4.0,17,1.0,1.0,0.0,0.0,0.0,0.0,Genderless,Raceless
250,Spree,2020,1,7.0,8,1,4.0,4,1.0,2.0,1.0,1.0,0.0,0.0,Male,White
251,Def by Temptation,1990,1,6.0,15,1,4.0,2,2.0,9.0,1.0,0.0,0.0,0.0,Both,Raceless
252,Freaky ,2020,1,6.0,8,1,4.0,3,1.0,2.0,1.0,0.0,0.0,0.0,Female,White
253,Tammy and the T-Rex,1994,1,6.0,9,1,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Male,Raceless
254,Wrong Turn ,2021,1,7.0,13,1,5.0,2,1.0,2.0,1.0,0.0,0.0,0.0,Both,Raceless
255,12 Hour Shift,2020,1,6.0,5,1,5.0,0,,,,,,,Male,White
256,Pieces ,1982,1,10.0,6,1,5.0,1,0.0,1.0,1.0,1.0,0.0,1.0,Male,White
257,Thirteen Ghosts,2001,2,6.0,10,1,3.0,2,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
258,Mortal Kombat: Annihilation,1997,2,14.0,17,1,6.0,3,1.0,2.0,1.0,5.0,2.0,1.0,Genderless,Raceless
259,Host ,2020,2,3.0,6,6,6.0,2,1.0,2.0,1.0,0.0,0.0,0.0,Genderless,Raceless
260,Mortal Kombat,1995,4,10.0,11,2,3.0,0,1.0,1.0,0.0,5.0,2.0,1.0,Genderless,Raceless
261,A Bay of Blood,1971,2,8.0,7,2,5.0,6,0.0,0.0,0.0,0.0,0.0,0.0,Both,White
262,Happy Birthday to Me,1981,1,7.0,6,1,5.0,3,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
263,Shaun of the Dead,2004,2,10.0,10,2,6.0,3,0.0,1.0,0.0,0.0,0.0,0.0,Genderless,Raceless
264,Dawn of the Dead,1978,2,6.0,22,1,4.0,1,1.0,1.0,0.0,0.0,0.0,0.0,Genderless,Raceless
265,Escape Room,2019,2,6.0,9,2,4.0,4,0.0,0.0,0.0,1.0,1.0,1.0,Genderless,Raceless
266,Day of the Dead,1985,2,8.0,10,1,2.0,0,0.0,1.0,1.0,0.0,0.0,0.0,Genderless,Raceless
267,Midsommar ,2019,1,6.0,8,2,8.0,4,0.0,0.0,0.0,0.0,0.0,0.0,Both,White
268,Behind the Mask: The Rise of Leslie Vernon,2006,2,7.0,6,1,5.0,4,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
269,Cooties,2014,2,9.0,9,1,7.0,10,0.0,1.0,1.0,0.0,0.0,0.0,Genderless,Raceless
270,Don't Breathe,2016,1,5.0,2,1,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
271,Fear Street Part 1: 1994,2021,2,7.0,10,2,8.0,4,1.0,1.0,0.0,0.0,0.0,0.0,Genderless,Raceless
272,Fear Street Part 2: 1978,2021,2,7.0,6,2,6.0,6,0.0,0.0,0.0,0.0,0.0,0.0,Genderless,Raceless
273,Fear Street Part 3: 1666,2021,2,8.0,10,2,8.0,10,0.0,0.0,0.0,0.0,0.0,0.0,Genderless,Raceless
274,Revenge ,2017,2,4.0,3,1,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
275,Benny Loves You,2019,1,4.0,10,0,2.0,8,0.0,0.0,0.0,0.0,0.0,0.0,Genderless,Raceless
276,Spiral: From the Book of Saw,2021,2,8.0,7,1,4.0,1,2.0,2.0,0.0,0.0,0.0,0.0,Male,White
277,A Quiet Place Part II,2020,2,6.0,24,2,4.0,8,1.0,1.0,1.0,0.0,0.0,0.0,Genderless,Raceless
278,Spookies,1986,3,10.0,6,2,5.0,5,0.0,0.0,0.0,0.0,0.0,0.0,Genderless,Raceless
279,Hellraiser ,1987,2,7.0,6,1,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Both,Raceless
280,Hellbound: Hellraiser II,1988,2,9.0,18,2,6.0,11,0.0,0.0,0.0,0.0,0.0,0.0,Both,Raceless
281,ThanksKilling 3,2012,2,6.0,10,1,3.0,4,0.0,0.0,0.0,1.0,0.0,0.0,Male,Raceless
282,Hellraiser: Bloodline,1996,1,14.0,14,1,6.0,2,0.0,1.0,1.0,0.0,0.0,0.0,Both,Raceless
283,Mortal Kombat,2021,3,12.0,28,1,6.0,3,1.0,1.0,0.0,5.0,3.0,1.0,Genderless,Raceless
284,Stitches ,2012,1,6.0,5,1,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Male,Raceless
285,Candyman,2021,1,6.0,9,1,5.0,8,2.0,4.0,1.0,0.0,0.0,0.0,Male,Black
286,Christmas Evil,1980,1,7.0,3,0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
287,American Psycho,2000,1,19.0,8,0,15.0,8,0.0,3.0,1.0,3.0,0.0,0.0,Male,White
288,American Psycho 2: All American Girl,2002,0,6.0,6,1,6.0,5,0.0,1.0,1.0,0.0,0.0,0.0,Female,White
289,Slither,2006,1,6.0,52,1,5.0,37,0.0,1.0,1.0,0.0,0.0,0.0,Genderless,Raceless
290,Deathgasm ,2015,1,5.0,29,1,3.0,8,0.0,0.0,0.0,0.0,0.0,0.0,Both,Raceless
291,Halloween Kills,2021,2,,17,2,,5,0.0,1.0,0.0,0.0,0.0,0.0,Male,White
292,Pontypool,2008,1,,12,2,2.0,15,,,,,,,Male,White
293,Texas Chainsaw Massacre,2022,2,5.0,15,2,5.0,16,1.0,1.0,1.0,0.0,0.0,0.0,Male,White
294,Would You Rather ,2012,1,10.0,7,1,3.0,2,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
295,Dracula,1931,2,7.0,2,1,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
296,Blacula ,1972,2,6.0,17,2,3.0,8,2.0,3.0,0.0,0.0,0.0,0.0,Male,Black
297,Don't Breathe 2,2021,1,2.0,9,1,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
298,Orphan ,2009,2,5.0,2,1,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Female,White
299,Wolf Creek,2005,3,3.0,2,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
300,X,2022,2,5.0,5,3,5.0,3,1.0,1.0,1.0,0.0,0.0,0.0,Both,White
301,The Wolf Man,1941,2,6.0,3,1,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
302,Haunt ,2019,2,5.0,6,2,3.0,5,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
303,Willy's Wonderland ,2021,1,1.0,22,0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,Both,Raceless
304,The Black Phone,2021,1,14.0,7,1,4.0,0,0.0,1.0,0.0,3.0,0.0,0.0,Male,White
305,Black Friday,2021,2,13.0,13,1,3.0,12,0.0,1.0,0.0,0.0,0.0,0.0,Genderless,Raceless
306,Bodies Bodies Bodies,2022,2,3.0,2,3,4.0,3,1.0,1.0,1.0,1.0,0.0,0.0,,
307,Malignant ,2021,1,4.0,22,1,4.0,24,0.0,0.0,0.0,0.0,0.0,0.0,Male,Raceless
308,Prey ,2022,0,3.0,31,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Male,Raceless
309,The Tripper  ,2006,2,8.0,23,1,3.0,6,1.0,4.0,2.0,1.0,0.0,0.0,Male,White
310,Scream ,2022,2,6.0,5,3,6.0,3,2.0,2.0,1.0,1.0,0.0,0.0,Male,White
311,The Collector,2009,1,6.0,5,0,3.0,3,0.0,1.0,1.0,1.0,0.0,0.0,Male,White
312,The Collection,2012,1,6.0,32,1,4.0,43,0.0,1.0,1.0,1.0,0.0,1.0,Male,White
313,Bones and All,2022,1,4.0,5,1,5.0,2,1.0,7.0,1.0,0.0,0.0,0.0,Male,White
314,Urban Legend,1998,2,8.0,7,2,5.0,3,1.0,1.0,0.0,0.0,0.0,0.0,Female,White
315,Urban Legends: Final Cut,2000,2,8.0,4,3,5.0,3,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
316,Urban Legends: Bloody Mary,2005,2,6.0,5,2,4.0,2,0.0,1.0,1.0,0.0,0.0,0.0,Female,White
317,Winnie the Pooh: Blood and Honey,2023,3,6.0,4,2,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,Male,Raceless
318,The Meg,2018,3,7.0,18,1,3.0,2,1.0,1.0,0.0,4.0,1.0,1.0,Female,Raceless
319,Hostel ,2005,3,10.0,15,1,4.0,8,0.0,0.0,0.0,2.0,1.0,1.0,Both,Raceless
320,Hostel: Part II,2007,0,7.0,13,3,6.0,6,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
